Titre,thématique
Elections - Présidentielles 2007 - 1erTour,Citoyenneté
Bilan Social - Effectifs permanents par tranche d'âge,Administration et Finances Publiques
Lieux de tournage à Paris,Culture
Secteurs des bureaux de vote en 2014,Citoyenneté
Bilan Social - Accident de travail et de trajet par corps - 2013 à 2015,Administration et Finances Publiques
PLU - Secteurs particuliers,Urbanisme et Logements
Déchets ménagers - Points d'apport volontaire - Colonnes à verre,Environnement
CASVP - Allocation de Soutien aux Parents d'Enfant(s) Handicapé(s),"Equipements, Services, Social"
Bilan Comptable - Synthétique,Administration et Finances Publiques
CASVP - Paris Forfait Familles,"Equipements, Services, Social"
Arrêtés municipaux d'insalubrité - 2010,Urbanisme et Logements
Arc de l'innovation,Urbanisme et Logements
PLU - Géoportail de l'Urbanisme - Informations surfaciques,Urbanisme et Logements
PLU - Plateformes de transit en temps partagé,Urbanisme et Logements
Statistiques de création d'actes d'état-civil par mois,Citoyenneté
PLU - Géoportail de l'Urbanisme - Prescriptions surfaciques,Urbanisme et Logements
Référentiel archéologique de Paris,Culture
PLU - Annexes - Plans d'aménagement d'ensemble,Urbanisme et Logements
Elections - Régionales 2015 - 1erTour,Citoyenneté
PLU - Protections de l'artisanat et de l'industrie,Urbanisme et Logements
PLU - Géoportail de l'Urbanisme - Prescriptions linéaires,Urbanisme et Logements
Compte de Résultat,Administration et Finances Publiques
CASVP - Immobilisations - Etat des entrées,Administration et Finances Publiques
Liste des associations parisiennes,"Equipements, Services, Social"
Statistiques des jours des mariages,Citoyenneté
Elections - Européennes 2014,Citoyenneté
Bilan Social - Formation par thèmes,Administration et Finances Publiques
Elections - Européennes 2009,Citoyenneté
Budgets Votés - Autorisations de Programmes à partir de 2018 (M57 Ville-département),Administration et Finances Publiques
Bilan Social - Promotions de grade au choix et par examen professionnel (synthèse),Administration et Finances Publiques
PLU - Emprises constructibles maximales (ECM),Urbanisme et Logements
Stationnement sur voie publique - Stationnement interdit,Mobilité et Espace Public
PLU - Espaces libres à végétaliser (ELV),Urbanisme et Logements
PLU - Géoportail de l'Urbanisme - Zonage,Urbanisme et Logements
Horodateurs - Mobiliers,Mobilité et Espace Public
CASVP - Nombre de bénéficiaires Paris Logement,"Equipements, Services, Social"
Secteurs Paris Respire,Mobilité et Espace Public
Plan de voirie - Mobiliers urbains - Kiosques - Toilettes publiques - Panneaux publicitaires,Mobilité et Espace Public
Collections des bibliothèques et fonds spécialisés et patrimoniaux,Culture
Plan de voirie - Trottoirs - emprises,Mobilité et Espace Public
Plan de voirie - Rampes de viaducs,Mobilité et Espace Public
Plan de voirie - Emplacements plaques adresses,Mobilité et Espace Public
Sectorisation - Embellir votre quartier,Mobilité et Espace Public
Bilan Social - Effectifs non titulaires permanents,Administration et Finances Publiques
Plan de voirie - Mobiliers urbains - Jardinières - Bancs - Corbeilles de rue,Mobilité et Espace Public
PLU - Espaces Boisés Classés et STCAL,Urbanisme et Logements
Signalisation lumineuse tricolore,Mobilité et Espace Public
Plan de voirie - Voies privées fermées,Mobilité et Espace Public
Plan de voirie - Passages piétons,Mobilité et Espace Public
Plan de voirie - Voies d'eau,Mobilité et Espace Public
Voies - Nomenclature des voies actuelles,Urbanisme et Logements
CASVP - Compte administratif - Section d'exploitation - Budgets annexes,Administration et Finances Publiques
PLU - Plan des hauteurs,Urbanisme et Logements
Ecrans tactiles connectés - Abris voyageurs,Mobilité et Espace Public
Secteurs des bureaux de vote en 2017,Citoyenneté
Elections - Régionales 2015 - 2èmeTour,Citoyenneté
Bilan Social - Effectifs titulaires permanents,Administration et Finances Publiques
Plan de voirie - Pavés mosaïques du Plan de voirie de Paris,Mobilité et Espace Public
Programmation du festival Numok,Culture
Tous les documents des bibliothèques de prêt,Culture
Paris autrement - Balades dans les arrondissements périphériques - Parcours,Commerces et Tourisme
PLU - Limitation des parcs de stationnement,Urbanisme et Logements
Elections - Présidentielles 2017 - 2èmeTour,Citoyenneté
Zone à Faibles Emissions (ZFE),Mobilité et Espace Public
Réseau parisien d'inclusion numérique,"Equipements, Services, Social"
PLU - Emprises de constructions basses en bordure de voie,Urbanisme et Logements
Elections - Régionales 2010 - 2èmeTour,Citoyenneté
Bilan Social - Positions statutaires particulières autres que détachement,Administration et Finances Publiques
Budgets Votés - Autorisations de Programmes - 2009 - 2017 (M14-M52 Ville-département),Administration et Finances Publiques
Les conseils de quartier,Citoyenneté
Statistiques de création d'actes d'état-civil par arrondissement,Citoyenneté
Comptes Administratifs - Budgets Principaux 2009 - 2017 (M14-M52 Ville-département),Administration et Finances Publiques
Tronçons de Voies,Urbanisme et Logements
Déchets ménagers - Points d'apport volontaire - Stations Trilib,Environnement
Elections - Législatives 2012 - 1erTour,Citoyenneté
CASVP - Bénéficiaires Pass Paris Seniors Access' avec droits chargés,"Equipements, Services, Social"
Elections - Législatives 2012 - 2èmeTour,Citoyenneté
PLU – Protections patrimoniales – Bâtiments protégés,Urbanisme et Logements
Marchés découverts,Commerces et Tourisme
Bilan Social - Recrutement direct,Administration et Finances Publiques
Bureaux de votes,Citoyenneté
Espaces non bâtis,Urbanisme et Logements
Elections - Municipales 2014 - 1erTour,Citoyenneté
CASVP - Liste des restaurants,"Equipements, Services, Social"
Elections - Municipales 2014 - 2èmeTour,Citoyenneté
Inventaire des documents numérisés en ligne,Culture
Comptes Administratifs - Autorisations de Programmes 2009 - 2017 (M14-M52 Ville-Département),Administration et Finances Publiques
PLU - Espaces à libérer (EAL),Urbanisme et Logements
Kiosques de presse,"Equipements, Services, Social"
CASVP - Paris Logement Familles Monoparentales,"Equipements, Services, Social"
Logements sociaux financés à Paris,Urbanisme et Logements
